sample,r_no3,r_n2o,r_g
A301,6.022924257138604e-6,0.0005072588453606941,5.819717322283302e-5
A302,7.877973067536166e-6,4.412339611252088e-6,1.8387437129931424e-6
A303,4.179138564713211e-6,1.701905461690475e-6,1.1480193148871394e-10
A306,4.35578256593154e-6,2.886024458346243e-6,9.997482974268342e-7
A907,2.763053932053398e-6,1.6342891736799677e-6,4.7286267303078263e-7
