t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,1.1884544608571257,1.6117363971142147,0.3034561732250676,0.06929814835347599,0.0,0.1567203921270283
3,0.8063878822480159,0.5495100202319598,0.3123048094940662,0.0,,1.1379074241123346
5,0.5862439903943074,0.5298258463694397,0.3123048094940662,0.0,,
14,0.5568914714804798,0.3829918322828811,0.3244846970643348,0.04324204457256902,,
25,0.4968639575259375,,0.31800957734749113,0.0,,
37,0.48815496839765893,0.5228671101601072,0.3227149698105351,0.0,0.005586874332583555,
51,0.3661000985405992,0.1997278401862856,0.33312513012700395,0.0,0.003972614909231363,
65,0.25843118850284413,0.2605439362130975,0.3207578596710389,0.05405255571571128,,
84,0.22630469527408317,,,,,
100,,0.3900860925837853,,,0.008071656101606343,
108,0.1837919261219678,0.24279281187883556,,,,
134,0.16127757644960317,0.5423370889512434,,,,
150,0.08063878822480158,0.3583884443940503,,,,
170,0.11289430351472222,0.37466592288542716,,,,
