exp,facies,mean_r_no3,std_r_no3,min_r_no3,max_r_no3,facies_code
"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","String3[""T1"", ""T2"", ""T3"", ""T4"", ""T8"", ""T7"", ""T5"", ""T6""]","[9.342651058046167e-6, 6.625563327290053e-6, 6.740174589393689e-6, 9.310120363192712e-6, 3.379973928915031e-5, 2.0729908406720635e-5, 7.1648753819064525e-6, 1.7379143718681684e-5]","[4.243319336031576e-6, 5.722136944987436e-6, 4.435057444911814e-6, 6.363945692449086e-6, 7.970876175598822e-6, 4.8014729211240124e-6, 5.50293793065142e-6, 3.079730122749619e-6]","[6.342171180798241e-6, 2.458539006602799e-6, 2.48863039674541e-6, 3.162511800490344e-6, 2.516758452375115e-5, 1.6390439363944065e-5, 2.020779791679852e-6, 1.3388734311827338e-5]","[1.2343130935294093e-5, 1.31497716549357e-5, 1.1338397599919511e-5, 1.5870324864868963e-5, 4.088155257507281e-5, 2.588810382502141e-5, 1.2967408633968996e-5, 2.04763460602371e-5]","Union{Missing, Int64}[1, 2, 3, 4, 8, 7, 5, 6]"
"['B', 'B', 'B', 'B', 'B', 'B']","String3[""T1"", ""T3"", ""T7"", ""T2"", ""T6"", ""T4""]","[1.0959981439730157e-6, 4.953180207354955e-6, 3.739270375202515e-5, 2.479787230523878e-6, 2.277872003278346e-5, 1.4201181496251627e-5]","[NaN, 3.089744797116708e-6, 6.8435859518394355e-6, 3.905073687984346e-7, 5.521079632641637e-6, 6.319210823023293e-6]","[1.0959981439730157e-6, 2.891390639687768e-6, 3.255355771784649e-5, 2.203656821943189e-6, 1.7337432036624524e-5, 9.732824671544431e-6]","[1.0959981439730157e-6, 1.0405062967834737e-5, 4.223184978620381e-5, 2.7559176391045674e-6, 2.8376273660502486e-5, 1.866953832095882e-5]","Union{Missing, Int64}[1, 3, 7, 2, 6, 4]"
