t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.2044241664771653,0.8005323536154487,0.36175307099729337,0.6486306685885352,0.0008110649126394474,0.13922248426818531
3,3.135074808603836,0.6236106138693,0.3901728086612534,0.6680341501275087,,0.12281140298442576
5,3.2124074065114208,0.7897156802719492,0.41234645013533205,0.6708060760616475,,
14,3.0449206433685077,0.6186150682308275,0.40714136997709766,0.6527885574897438,,
25,2.769716586914905,,0.41482406829065166,0.6375429648519791,,
37,2.765329836835476,0.49955456384723623,0.44093275036435564,0.6261780685220091,0.01133531456615091,
51,2.693335526708373,0.31965294827856744,0.46841557359983343,0.6708060760616475,0.01317888578374571,
65,2.6610800114184525,0.4102013818063601,0.4326462627524464,0.6935358687215877,,
84,2.56850668253638,,,,,
100,,0.5653758706585761,,,0.014621146025038056,
108,2.4789653720915603,0.4502719962427219,,,,
134,2.3100754940335357,0.7493318457708543,,,,
150,2.495867262103479,0.6633586651469789,,,,
170,2.509930666769884,0.5248689479380886,,,,
