t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.248614222424357,1.480180933206874,0.3195919217155944,0.6818937797982039,0.0,0.13617936985795176
3,3.2604681242934026,1.698485517080603,0.3485842181969602,0.6874376316664819,,0.0467335427285868
5,3.349654624070033,1.482340226465052,0.36159691859254633,0.69298148353476,,
14,3.094513498126761,1.1647947247038057,0.3657089319175515,0.6810622020179621,,
25,1.1289430351472223,0.6152847044718459,0.36660420570476787,0.5987360017740326,,
37,0.8615448133937802,0.6735660702540235,0.38517593170934833,0.6225745648076284,0.0003928135,
51,0.8557388206415945,0.4634166326122965,0.422402665001041,0.6699744982814059,0.0009169211,
65,0.7294262227662652,0.5366365128107612,0.41640641265875494,0.6597183723250915,,
84,0.6802688174644262,1.0906941310664657,,,,
100,,0.5191678404555554,,,0.001348587,
108,0.5967270328635318,0.5191678404555554,,,,
134,0.6128547905084921,0.8907332827224641,,,,
150,0.5388606384334141,0.9252731351844189,,,,
170,0.4709305232328413,0.6916650564912952,,,,
