t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.927510567713197,2.272288944926374,0.17957526545908806,0.6375429648519791,0.0006640151773339696,0.09781439175750727
3,2.784054163461275,2.4636365907066198,0.18550905683947533,0.6236833351812839,,0.1630239862625121
5,2.8983193263758187,1.9789135102883346,0.20684988548823652,0.6430868167202572,,
14,2.7644589379226474,1.9241176617516047,0.21575057255881738,0.6228517574010421,,
25,2.4833521221709898,2.1938771262291126,0.23943368727878409,0.608992127730347,,
37,2.36942564216699,2.131432805748208,0.25925463252134084,0.6125956314447278,0.0030641015154613408,
51,1.890624773203408,1.8381534860607958,0.28561315844264,0.6281184166759064,0.005618178719923659,
65,1.194486242216341,1.36110773709524,0.2829065167603581,0.5887570684111321,,
84,0.5289904507546984,1.573596876118794,,,,
100,,,,,0.02963788198941222,
108,0.09676654586976191,,,,,
134,0.0,,,,,
150,0.0,,,,,
170,0.0,,,,,
