t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.7947791222951737,0.9894708649850383,0.22673329169269207,0.5543851868278079,0.0024177034830994136,0.04782036930367022
3,2.675998187240041,0.830925757865903,0.2289194253591505,0.5765605943009203,,0.04347306300333656
5,2.6351949603982914,0.9065754997741596,0.23683114719966686,0.5710167424326422,,
14,2.1990197548903394,0.5295278376780704,0.24984384759525297,0.5416343275307683,,
25,2.09718909312006,0.5103782460639263,0.2602540079117218,0.5416343275307683,,
37,2.118026155997349,0.5661618390268677,0.2630855715178014,0.5432974830912518,0.02975880970110844,
51,2.1382826195994187,0.29772145813643586,0.27524463876743704,0.5676904313116754,0.03893222522044071,
65,1.974037535743143,0.42513184187838093,0.2615032271496981,0.5915289943452711,,
84,1.8860444900322395,,,,,
100,,0.5595379435026393,,,0.028556605585238575,
108,1.7172836340353748,0.46906403667506136,,,,
134,1.8238558565532723,0.8940314765926799,,,,
150,1.728444042325687,0.7818492120876235,,,,
170,1.724831424613216,0.524532429250585,,,,
