t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.058306682213825,0.6489001887383026,0.1932125754736623,0.7789111874930702,0.0,0.04195150579821978
3,2.9499281508396917,0.7743095739632162,0.22860712054965646,0.8703847433196585,,0.1086826575083414
5,2.902109349422384,0.8730704323427194,0.22751405371642727,0.8537531877148242,,
14,2.7455088226898194,0.7818028924209247,0.29648136581303347,0.8579110766160329,,
25,2.464127835058197,,0.30851551113887155,0.8482093358465462,,
37,2.3623294288032075,0.7476666638913636,0.3262960649594004,0.8202128839117419,0.005729911617022243,
51,2.4009070250899525,0.571899224108684,0.33312513012700395,0.8185497283512584,0.010752766228159863,
65,2.417421848918392,0.6457566353268361,0.3479908390589215,0.8595742321765162,,
84,2.3861985101177488,,,,,
100,,0.7876824904865221,,,0.0116978983482153,
108,2.2820131957313055,0.7680952518681743,,,,
134,2.1900204661244516,1.0495227670585312,,,,
150,2.307107986626863,0.8840554482318516,,,,
170,2.3623294288032075,0.7608677291914709,,,,
