t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.2890142553249824,0.9549660600779055,0.2964293150114512,0.9923494844217762,1.60585e-5,0.0929236721696319
3,3.1849902185149888,0.7659836645657622,0.3270351863418697,1.0034371881583324,,0.1152036169588419
5,3.2753056613267657,0.8815007068379113,0.36820737039350404,0.9895775584876371,,
14,3.0161325959722536,0.7077022987835846,0.4130751613574849,0.9762723140037698,,
25,2.86119322827712,0.7326800269759465,0.4215282115344576,0.9535425213438297,,
37,2.872611680689752,0.8092783934325227,0.4708307307932542,0.9443951657611709,0.00021610740000000002,
51,2.424389040221015,0.4763706915239453,0.47886737455756817,0.954928484310899,0.0003154853,
65,2.3840696461086144,0.6392859156386764,0.4931501145117635,0.9227741434748863,,
84,2.3193005714064534,,,,,
100,,0.7377245238267154,,,0.0006592468,
108,2.225630555004524,0.6829290270895301,,,,
134,2.223630713056549,1.0220650839884435,,,,
150,2.241758312649484,0.900441415768523,,,,
170,2.2095027973595633,0.790961392758124,,,,
