t,NO3-,DOC,SO4-2
0,3.134349059509813,0.29096372224008676,0.20351863418696647
5,2.418599175226474,0.4312836906258586,0.19383718509265044
9,2.430130521942621,0.37547866976945554,0.19081823860087443
16,2.3794087241492203,0.3051368553701125,0.2095565271705184
23,2.3320737554612623,0.6963927392142456,0.21538621694774096
30,2.325461374826828,0.5878782943720291,0.22355819279616906
56,2.320139214803991,0.5588699730862938,0.24364980220695398
72,2.4006973642405685,0.40516318577142046,0.26259629398292733
83,2.3038501795825814,0.3478557145558844,0.25952529668956903
99,2.255305629071251,0.3829918322828811,0.26847803456173225
126,2.1868432978683945,0.6891631937228947,0.2660836976889444
150,2.177247282069643,,0.2881532375598584
