t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.0112136298905408,1.355231369808504,0.24515927545284197,0.69298148353476,0.00027828368891009476,0.03499581571768593
3,2.914205167656105,1.3404714129900839,0.25359150530918173,0.7040691872713161,,0.035865276977752665
5,2.9805708903651165,1.1779835742591855,0.2669165105142619,0.6846657057323429,,
14,2.752766313630052,1.218080544847511,0.2771184676244014,0.6705288834682338,,
25,2.2851742362297176,0.9658054901046567,0.2873620653758068,0.6486306685885352,,
37,1.9584903773734013,0.915850033719933,0.3423277118467624,0.6627674908526444,0.007133490105196192,
51,1.8169531762812294,0.43164599085406513,0.3480324797001874,0.6816165872047899,0.012908004453229727,
65,1.6690293831616534,0.5814705758743703,0.3454091193004372,0.6938130613150016,,
84,1.6347095148931778,,,,,
100,,0.763792578166186,,,0.019107338740826575,
108,1.4127270586679441,0.6461670460935225,,,,
134,1.4031149151115476,1.2926416766435262,,,,
150,1.3547961532072466,0.8698207571172454,,,,
170,1.322476126886746,0.7659836645657622,,,,
