t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.6122935445424478,1.0298614540773061,0.6579221320008328,0.30491185275529437,0.0,0.04553803349599504
3,2.3514270646352147,1.2488864096180905,0.7206433479075578,0.26887681561148685,,0.322787492799774
5,2.372312510785438,0.5535332930052945,0.7345409119300438,0.2577891118749307,,
14,2.307720841417372,0.45459465310098496,0.7228815323755985,0.24781017851203013,,
25,2.2287270844723563,,0.7185092650426816,0.24947333407251357,,
37,2.336137950387792,0.5070478823049448,0.7849260878617531,0.24143474886351038,0.0001139217,
51,2.3249775420974794,0.2895186334820951,0.8159067249635644,0.25557157112761947,0.0001114165,
65,2.2736267617559256,0.3099507550105997,0.7878825733916301,0.26915400820490076,,
84,2.08093231341394,,,,,
100,,0.4845186800063918,,,0.0001564757,
108,1.961844950963553,0.4077470121269418,,,,
134,2.0324200184178993,0.6467662619171406,,,,
150,2.0562890997324406,0.5560970667848677,,,,
170,2.032097463265,0.4447925138418244,,,,
