t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.224745141109816,1.5190260926880448,0.1993545700603789,0.15799977824592526,0.0,0.04760300398865353
3,2.789376323484112,1.581922785516248,0.2024776181553196,0.14691207450936913,,0.10650900435817458
5,1.816227427187206,0.8082866829057599,0.19867790963980847,0.11364896329970062,,
14,0.8264669405159916,0.42711915208938694,0.2135123880907766,0.10089810400266104,,
25,0.680397839525586,,0.19462835727670208,0.08870162989244927,,
37,0.6849781226967546,0.4396080161855679,0.1977930460129086,0.09341390398048564,0.02516404698611774,
51,0.5018313068805852,0.31908788573062186,0.20907765979596085,0.10921388180507818,0.028738365937336693,
65,0.17579255833006746,0.29393615061087947,0.1969185925463252,0.12279631888235945,,
84,0.0025159301926138094,,,,,
100,,0.5126224106806064,,,0.027027094267602754,
108,0.0,0.48290274505232833,,,,
134,0.0,0.43294728866760473,,,,
150,0.0,0.40492250411380104,,,,
170,0.0,0.3413622852956114,,,,
