t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.932026339853786,0.8446158838883663,0.20820320632937747,0.5543851868278079,0.0005658282438540714,0.06825270891523841
3,2.7111566989060547,0.8325909397453937,0.21767645221736417,0.5821044461691983,,0.11846409668409214
5,2.9243656549724295,0.8033916848117795,0.21684363939204665,0.6264552611154229,,
14,2.7309938408093553,0.6377646598449715,0.22236102435977512,0.5607606164763278,,
25,2.5025441537684925,,0.2290235269623152,0.5654728905643641,,
37,2.5825055761722053,0.6244432048090452,0.2487611909223402,0.6375429648519791,0.014735182507318069,
51,2.5753448517778432,0.37784732743509536,0.2621694774099521,0.5843219869165096,0.015720611757992636,
65,2.4470969229851187,0.5017276345634676,0.2524255673537373,0.5931921499057545,,
84,2.296528177611769,,,,,
100,,0.6563766180394057,,,0.019598309011992467,
108,2.1891173116963336,0.5400774108526522,,,,
134,2.1344764687952082,0.7105420549912019,,,,
150,2.21924396297712,0.7407359293547695,,,,
170,2.2393068934874503,0.7333392953782877,,,,
