t,NO3-,DOC,SO4-2
0,2.8126002944928543,0.5280629293579209,0.2110139496148241
5,2.129912313381684,0.668198884494659,0.2233499895898397
9,2.1282995376171883,0.6397269963449258,0.2274620029148449
16,2.094269968986322,0.5203603480508863,0.24083905892150737
23,2.065401282801843,0.8000322312259943,0.25156152404747034
30,2.0305653262887287,0.7089151881560467,0.26337705600666245
56,1.9870203806473357,0.8364052682659961,0.2946075369560691
72,2.035323014793992,0.5936752476445062,0.3239641890485114
83,1.9508942035226249,0.5934115123257262,0.32818030397668124
99,1.8711424419682963,0.5934115123257262,0.33921507391213823
126,1.7838912731090608,0.9709199164573005,0.35800541328336455
150,1.6635782010776567,,0.41208619612742037
