t,NO3-,DOC,SO4-2
0,2.447790416563852,0.3103139626603146,0.21575057255881738
5,2.0186307856314585,0.4067989485209022,0.21111805121798877
9,1.9916167915761498,0.2959190321962916,0.21283572767020612
16,2.0050834692096915,0.28809260457802294,0.22506766604205702
23,1.9736343418020188,0.5631338042627199,0.2240787008119925
30,1.9597644702273531,0.4679270471476942,0.22610868207370396
56,1.9471848192642838,0.47776817032524,0.23938163647720176
72,1.9868591030708862,0.28296246920560336,0.2552571309598168
83,1.9035592348346664,0.32567461301205175,0.25374765771392876
99,1.821549587210043,0.3413622852956114,0.2606183635227982
126,1.7290568971161957,0.6515144796804649,0.27305850510097857
150,1.721960683752413,,0.35696439725171764
