t,NO3-,DOC,SO4-2
0,2.7634912724639507,0.41579856716597785,0.21429315011451178
5,2.092979748374725,0.5841262904743271,0.21720799500312307
9,2.0827386222701754,0.4453633938071886,0.2158546741619821
16,2.08918972532816,0.35891203661210924,0.22215282115344576
23,2.0450803081691933,0.7214819375066824,0.2254840724547158
30,2.047902665757061,0.6252124732855554,0.23011659379554444
56,1.9416207428767727,0.6036343502984298,0.24359775140537163
72,1.9229931827968436,0.8856259531283688,0.2606183635227982
83,1.8347743484789105,0.40097581703465907,0.2628565479908391
99,1.7424429359615128,0.40097581703465907,0.27019571101394957
126,1.6230975293888064,0.7665275009883205,0.2753487403706017
150,1.517138161661417,,0.3038725796377264
