t,NO3-,DOC,SO4-2
0,2.2973990765245973,0.4095987977554273,0.24312929419113055
5,2.175957061458046,0.36432247296160924,0.25145742244430563
9,2.1868432978683945,0.33237422623161017,0.24651259629398292
16,2.203777443395603,0.22932194664186017,0.24869872996044134
23,2.18039219481041,0.537668839161446,0.24672079950031234
30,2.193939511232177,0.4122194112533425,0.24885488236518838
56,2.1888592675740144,0.3996867459064193,0.25374765771392876
72,2.1933750397146032,0.9830362926203052,0.2676972725379971
83,2.192891206985254,0.2550547990019591,0.26014990630855717
99,2.1274125109467157,0.28308091951343384,0.25390381011867585
126,2.07894859922361,0.5455073669097572,0.2542161149281699
150,2.195471648208448,,0.2816468873620654
