t,NO3-,DOC,SO4-2
0,2.7166401365053408,0.35357803545979255,0.2265250884863627
5,2.135395750980971,0.5467967486491212,0.23204247345409118
9,2.1324927546048777,0.4488667941918456,0.2299604413907974
16,2.1282995376171883,0.34914323432310773,0.23792421403289607
23,2.0720943022245017,0.7130256812406122,0.24156777014366018
30,2.0332264063001473,0.5614958132096863,0.24807412034145324
56,1.9188806045973785,0.5399629811942477,0.26499063085571517
72,1.9539584774751673,0.42808270984290253,0.2887257963772642
83,1.849611885512274,,0.28560274828232357
99,1.7493778717488457,,0.2922132000832813
126,1.6386608155161932,,0.2981469914636685
150,1.5656020733845226,,0.33463460337289197
