t,NO3-,DOC,SO4-2
0,2.8021978908118554,0.3046758661062586,0.19784509681449097
5,2.147491569214691,0.5447806409285054,0.18998542577555694
9,2.1597486650248614,0.40139662109618923,0.1867582760774516
16,2.1431370746505523,0.33600708905477444,0.18821569852175726
23,2.118058411512638,0.5686741100922145,0.19222361024359774
30,2.1296703970170103,0.49461427120398316,0.19800124921923798
56,2.1134620005838247,0.6174390487661102,0.209192171559442
72,2.190552682126735,1.1807797857223976,0.22423485321673953
83,2.0932216647393997,0.3984372488423056,0.2196023318759109
99,2.0286299953713334,0.41629546987269683,0.21689569019362898
126,2.004599636480343,0.729505956562714,0.2252758692483864
150,2.05645037730889,,0.24953154278575887
