t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.8175998993627926,0.8346220209967529,0.20820320632937747,0.0,0.0,0.05868863505450436
3,2.850097331017387,0.3413622852956114,0.20487195502810743,0.0,,0.05651498190433753
5,2.858886958933891,0.535851827927503,0.20856756194045384,0.0,,
14,2.734864502644146,0.3829918322828811,0.20117634811576102,0.0,,
25,2.7272038177627898,,0.20566312721215907,0.0,,
37,2.7093987733227536,0.4887308816305461,0.20820320632937747,0.0,0.0008444482312044169,
51,2.625921499752439,0.41362285000189003,0.2129085987924214,0.0,6.773680503487606e-5,
65,2.499092813632471,0.36298277032644644,0.19979179679367062,0.0,,
84,2.3709093958703265,,,,,
100,,0.42102014152123607,,,4.537295798968486e-6,
108,2.1211226854651812,0.2791921831684598,,,,
134,2.0115829555406104,0.707001389826722,,,,
150,1.9164291854353448,0.497855997059457,,,,
170,1.6913501997422784,0.3452791185359721,,,,
