t,NO3-,DOC,SO4-2
0,2.6741434951108705,0.3598449614075333,0.21299188007495312
5,2.209664074936013,0.43294728866760473,0.2230376847803456
9,2.1815211378455577,0.5439243209804591,0.2211118051217989
16,2.2124864325238813,0.4424057734711832,0.23589423277118468
23,2.1587809995661638,0.6534290653590449,0.24005829689777225
30,2.160635691695334,0.6059946245360879,0.2482823235477826
56,2.1332991424871257,0.6130029681680269,0.2663960024984385
72,2.1677319050591164,2.0595263700346025,0.2848219862585884
83,2.099672767797384,,0.28643556110764107
99,2.008309020738684,,0.28450968144909433
126,1.933395586477843,,0.2976785342494275
150,1.9273476773609828,,0.33099104726212786
