t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.1830548875975935,0.9985605940013904,0.29773058505100974,0.6624902982592306,0.0,0.06803534360022172
3,3.1078995369720777,0.9083567152622245,0.3168852800333125,0.6874376316664819,,0.07499103368075556
5,3.1664432972232843,0.9696233802089387,0.32104934415990005,0.6791218538640648,,
14,2.9793613085417445,0.7942917565171055,0.3203206329377472,0.6638762612263001,,
25,2.489480670076075,,0.3235894232771185,0.6652622241933696,,
37,2.2727236073278076,0.532858201437052,0.33312513012700395,0.6281184166759064,0.004333964964896735,
51,2.2224695145061117,0.33234095690722526,0.35681865500728716,0.6635990686328862,0.008478790357394407,
65,2.0936409864381686,0.3730758410097804,0.3364980220695398,0.6525113648963299,,
84,2.0211950990970067,,,,,
100,,0.5373132967376297,,,0.011036400608911003,
108,1.908558839704604,0.33335943007086766,,,,
134,1.9793274402506897,0.6671250866129002,,,,
150,1.9654575686760238,0.6688975837509238,,,,
170,1.9653285466148642,0.5102964852173478,,,,
