t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.879288572354766,1.1239805170639348,0.32828440557984595,0.6375429648519791,0.0006580704651376955,
3,2.7455088226898194,1.0906941310664657,0.3301061836352279,0.6652622241933696,,
5,2.6705953884289793,0.9768896312736809,0.3581615656881116,0.6569464463909525,,
14,1.9108167257748985,0.5035510003580141,0.3557151780137414,0.6067745869830358,,
25,1.8424995443908465,0.4754094265946198,0.3603581095148865,0.5898658387847877,,
37,1.9502329654591817,0.5719899756050855,0.4032896106600042,0.5873711054440626,0.008240205883043365,
51,1.8649493830326311,0.344256713387024,0.397001873828857,0.6414236611597738,0.014082538256451203,
65,1.7413462484416553,0.38610264608119516,0.3955860920258172,0.6647078390065417,,
84,1.6243232389698232,,,,,
100,,0.5843111430662001,,,0.02372971428569806,
108,1.4043406246925645,0.3615765548561483,,,,
134,1.322476126886746,0.8345997174291591,,,,
150,1.2804794459792694,0.6737386425704429,,,,
170,1.1761005985010864,0.460125148409335,,,,
