t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.077821268964227,0.6667943989005013,0.337809702269415,0.5959640758398935,0.0006909708495217322,0.1236808642444925
3,2.99323118011641,0.36634001348797324,0.3669061003539455,0.5931921499057544,,0.13802697503559358
5,2.9945214007280065,0.5561307426688711,0.36648969394128666,0.6042798536423107,,
14,2.916463053726399,0.39881106013804357,0.36633354153653963,0.6430868167202572,,
25,2.874547011607147,,0.3700187382885696,0.6209114092471448,,
37,2.9784742818712715,0.4762420175343652,0.41407453674786593,0.5879254906308904,0.004431545225274351,
51,2.834421150586486,0.17861098853522275,0.4091193004372267,0.6289499944561482,0.005526896598732193,
65,2.754362961636903,0.2673760373438234,0.38709140120757857,0.6214657944339728,,
84,2.698367387093601,,,,,
100,,0.43680533935176885,,,0.012747776793220185,
108,2.499931457030009,0.28693431560169846,,,,
134,2.3538139727666687,0.6580514017936965,,,,
150,2.5278002222405003,0.5720406901274738,,,,
170,2.5549593661146135,0.4112728447967229,,,,
