t,NO3-,DOC,SO4-2
0,2.4503708577870458,0.2814824402168608,0.20664168228190716
5,1.9958100085638393,0.36829760047291166,0.19737663960024984
9,1.9666187672264615,0.3270079544073201,0.19493025192587968
16,2.007180077703536,0.25505347463410294,0.22387049760566316
23,1.9859720764004136,0.5504148493172013,0.2352175723506142
30,2.0087122146798078,0.45039798193551084,0.2416718717468249
56,1.9672638775322597,0.4039178379425695,0.25827607745159276
72,2.0221788923133497,0.3095985026084516,0.2910160316468874
83,1.9323472822309204,0.30562668093783957,0.28940245679783466
99,1.8635623958751646,0.30562668093783957,0.2972621278367687
126,1.7944549543665098,0.6198717643331346,0.3079325421611493
150,1.8075184380589275,,0.38189673120966067
