t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.1279785952400534,1.547418606676114,0.2156464709556527,0.63477103891784,6.796999999999999e-7,0.08966319244438166
3,2.9338810319829567,1.656023379153588,0.2216323131376223,0.6375429648519791,,0.10324852463292433
5,3.096448829044156,1.527342246258228,0.22168436393920468,0.690209557600621,,
14,2.98532857887038,1.3479647314477925,0.22543202165313347,0.6455815500609824,,
25,2.695351496413993,,0.23943368727878409,0.6375429648519791,,
37,2.641339636061021,1.397920187832516,0.24951072246512596,0.6303359574232177,0.0,
51,2.256402316591108,0.8862082031214751,0.2607953362481782,0.646690320434638,0.000232,
65,1.4628521294284806,0.5397978890524258,0.2506350197793046,0.6209114092471449,,
84,0.9955342239081105,0.9325018525148409,,,,
100,,0.7493318457708543,,,0.0005310801,
108,0.9031544281177778,0.7074287103811252,,,,
134,0.9031544281177778,0.8421250915741298,,,,
150,0.9254107336678231,0.7510939269425038,,,,
170,0.9224432262611503,0.7994802486116547,,,,
