t,NO3-,DOC,SO4-2
0,3.286756369254688,0.34137080854064294,0.1906620861961274
5,2.2042612761249516,0.33736491911379024,0.17504684572142412
9,2.140072800698009,0.41709582064325973,0.16406412658754946
16,2.119187354547786,0.3399765784349255,0.16135748490526755
23,2.078142211341362,0.5923864987970718,0.1628669581511555
30,2.083706287728873,0.508026132942751,0.16880074953154278
56,2.057659959132262,0.535030443922733,0.1795232146575057
72,2.1261222903351182,0.9415499698128919,0.19388923589423276
83,2.054837601544394,,0.1940453882989798
99,1.9599257478038028,,0.19185925463252132
126,1.917025912468208,,0.2009681449094316
150,,,
