t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.4088434946270376,1.7567668828627807,0.33551946699979174,0.6430868167202572,6.5155000000000006e-6,0.03227874927997739
3,3.134349059509813,1.6318782419009719,0.35165521549031853,0.7123849650737332,,0.14563476106117748
5,3.4098917988739603,1.8007519383756236,0.3751821778055382,0.69298148353476,,
14,3.128220511604728,1.6468648788163889,0.3747657713928794,0.6297815722363898,,
25,2.9260268140098606,1.856677795632228,0.38517593170934833,0.6209114092471449,,
37,2.9872477820301295,1.8491844771745194,0.40091609410784923,0.6175850981261781,0.000238,
51,2.764491193437938,1.6814483245060987,0.41723922548407244,0.638097350038807,0.000401,
65,2.3208488361403696,0.8779370983679136,0.40599625234228603,0.6084377425435192,,
84,1.7937292052724865,,,,,
100,,0.60368331023929,,,0.00056,
108,1.0850110233223502,0.44411593527328297,,,,
134,0.9999209739875397,0.6746154046671301,,,,
150,0.8923165749803645,0.8657902047402649,,,,
170,0.8547711551828968,0.790961392758124,,,,
