t,NO3-,DOC,SO4-2
0,2.8126002944928543,0.3869853601417578,0.2291276285654799
5,2.1809566663279836,0.5724172414596984,0.24666874869872996
9,2.151765424990606,0.4806948556703606,0.24583593587341243
16,2.1500720104378845,0.3719751058609257,0.26077451592754525
23,2.07878732164716,0.6704407803287186,0.2666562565063502
30,2.03008149355938,0.5392400587361952,0.27607745159275454
56,1.8900119184128996,0.6635358516308109,0.2972100770351863
72,1.870739248027172,1.0007873490538437,0.32078909015198837
83,1.7538936438894346,0.4022306226050239,0.3211013949614824
99,1.6378544276339453,0.4022306226050239,0.3294295232146575
126,1.4764155736078923,0.7616429927902995,0.3356235686029565
150,1.3294110626740792,,0.38168852800333125
