t,NO3-,DOC,SO4-2
0,3.1491059577549514,0.2938819790379628,0.19748074120341452
5,2.3055435941353024,0.42529546004812374,0.18941286695815115
9,2.273046162480707,0.39203719391875574,0.18051217988757026
16,2.262643758799708,0.3156130335280358,0.18249011034769932
23,2.2317591029096087,0.701298750670423,0.18764313970435142
30,2.2310333538155858,0.5564580322441423,0.19310847387049762
56,2.209341519783114,0.634344199233028,0.2084114095357068
72,2.2862709237495746,1.248287973017734,0.22501561524047473
83,2.206438523407021,0.35260467102218773,0.22418280241515723
99,2.1319282830873045,0.3829918322828811,0.22246512596293982
126,2.0900767519986325,0.793826371600408,0.23245887986674996
150,2.1453143219326214,,0.2616593795544451
