t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,3.343606714953173,1.4986636915417086,0.41978971476160726,0.8482093358465462,0.0,0.038799708730477875
3,3.202246919195096,1.4403823257595312,0.45185300853633137,0.8787005211220756,,0.07390420710567217
5,3.32876917791981,1.3189744534397914,0.4867270455965022,0.8897882248586318,,
14,3.176442506963159,1.1656273156435513,0.547158026233604,0.8734338618472114,,
25,3.0471785294388023,,0.5526545908806996,0.842665483978268,,
37,2.8943518979951586,1.1897724528961675,0.5740162398500936,0.8357356691429205,0.0012728489309976599,
51,1.9353309173952382,0.9491536713097488,0.5725588174057881,0.8290830469009868,0.005172608093063413,
65,1.2208067426929161,0.4186212848658438,0.5865500728711223,0.8307462024614702,,
84,1.163585458568597,0.6410950236039532,,,,
100,,0.5661618390268677,,,0.022045913707313746,
108,1.0483042469224206,0.5172745195458891,,,,
134,1.064432004567381,0.7395772621444753,,,,
150,1.0454012505463277,0.7092937743430892,,,,
170,1.0356600849287716,0.545015002206366,,,,
