t,NO3-,DOC,SO4-2
0,2.5535078679265673,0.5178032420172705,0.21533416614615863
5,2.0937054974687483,0.6985847228721057,0.22579637726420987
9,2.0853190634933694,0.5979055304853172,0.22694149489902143
16,2.07878732164716,0.4640245830850225,0.23787216323131377
23,2.0450803081691933,0.7511013804464595,0.24594003747657714
30,2.0041158037509943,0.6501029840296211,0.25213408286487615
56,1.7155095806944292,0.6878910551454845,0.27743077243389547
72,1.5839070783115528,0.4372070552098237,0.3010097855506975
83,1.4039213029937956,0.5445062695833048,0.3040287320424735
99,1.2192584779589999,0.5578359296294138,0.3142827399541953
126,0.9860511024128739,0.8222436432040738,0.3360399750156152
150,0.7022025678615722,,0.3970435144701228
