t,NO3-,DOC,SO4-2
0,2.9515409266041877,0.27842071263498797,0.20768269831355404
5,2.156765029860543,0.32377497090094665,0.19003747657713926
9,2.1158811642305686,0.399643651077789,0.17832604622111184
16,2.1397502455451103,0.24009627495941202,0.1779616906100354
23,2.084512675611121,0.5911395672192294,0.1776493858005413
30,2.066046393107641,0.474253636602218,0.17889860503851757
56,2.038951760264108,0.45223748552573123,0.18962107016448052
72,2.089512280481059,0.2973749664092726,0.2038829897980429
83,1.997180867963661,,0.20372683739329586
99,1.904043067564015,,0.20664168228190716
126,1.8066314113884547,,0.2254840724547158
150,,,
