t,NO3-,DOC,SO4-2,NH4+,N2O,NO2-
0,2.8509843576878597,0.8329716583174004,0.19883406204455545,0.6874376316664819,4.512037440333947e-5,0.02956168284226886
3,2.6985770479429854,0.6119543407128644,0.19128669581511554,0.7484200022175408,,0.05542815532925411
5,2.8473556122177444,0.7540503073473186,0.20289402456797836,0.7262445947444284,,
14,2.751879286959579,0.7385081635541642,0.20575681865500728,0.7320656392061204,,
25,2.6183414536593075,,0.21861336664584635,0.7317884466127065,,
37,2.6609509893572927,0.6902178890489313,0.22373516552154904,0.7179288169420113,0.00021599822544783373,
51,2.7213978250106043,0.4824780758963216,0.2290235269623152,0.7428761503492627,0.0016562543985371425,
65,2.601471819162679,0.6077034539768973,0.2201957110139496,0.7281849428983256,,
84,2.4743850889203918,,,,,
100,,0.6784366377913411,,,0.005120998271396307,
108,2.444580992792505,0.5432855379495858,,,,
134,2.3322027775224217,1.0007977222744053,,,,
150,2.5830861754474244,0.8698427369529752,,,,
170,2.582699109263945,0.7674899370561249,,,,
