t,NO3-,DOC,SO4-2
0,2.6052779699668895,0.28640318285093624,0.19826150322714972
5,2.386908131454127,0.43294728866760473,0.19446179471163855
9,2.3773927544436004,0.35197043286402957,0.21038933999583595
16,2.20893832584199,0.274477080621659,0.20159275452841977
23,2.1693446808236123,0.6036053926417129,0.20466375182177804
30,2.161845273518706,0.508616572299771,0.21075369560691234
56,2.1631354941303025,0.5552442378971025,0.23245887986674996
72,2.2695786945870404,0.30360484391557946,0.25728711222152817
83,2.1602324977542096,,0.2517176764522174
99,2.099834045373833,,0.26087861753070996
126,2.040241980875705,,0.2635332084114095
150,2.038790482687659,,0.29106808244846966
