facies,mean,median,std,min,max,count,porosity
T2,3.317800653206263e-08,3.3562812518685423e-08,6.458989296653414e-09,2.2476907225399214e-10,1.3183740031038939e-07,916607,0.75
T4,2.096540038133602e-08,2.106526221517749e-08,3.9985094057374545e-09,2.2960507276708669e-10,6.370971560028295e-08,1552881,0.75
T6,7.207027767781139e-09,7.238902972930977e-09,1.3295074613358119e-09,2.3939992300925983e-10,1.7619839565836547e-08,837951,0.75
T7,3.7610476533762485e-09,3.716389987120742e-09,7.549420254768248e-10,2.0874086062053657e-10,1.860831388774809e-08,2033420,0.75
T8,4.975330574628033e-10,4.17964807314029e-10,2.515761549202018e-10,8.555397795151248e-11,6.145523775682157e-09,611992,0.799999999999999
T9,5.081954384618855e-10,4.2049557706765574e-10,2.719292759611134e-10,8.959216984919674e-11,4.740373869744512e-09,548227,0.7999999999999992
C1,1.980628960571202e-09,1.5421066059081002e-09,1.3915709848323323e-09,1.6396101182284098e-10,2.6563604879405436e-08,296337,0.20000000000000012
T1,5.923015427976924e-08,5.8933129005388453e-08,1.3674220063614387e-08,1.7582217145983914e-09,2.1551907363291314e-07,784019,0.7000000000000012
G1,2.526494177598348e-06,2.5979225395983774e-06,7.492506657450868e-07,7.16480448428409e-08,6.8618641021818104e-06,120045,0.25
